Mentor ID,Mentor Name,Primary Domain,Role Title,Profile URL,Page Slug,Expected Image Filename,Image Status,Publishing Status
FCS-M001,Vivaan Srivastava,Data Analytics,Data Analytics Trainer,https://forskcodingschool.com/mentors/vivaan-srivastava-data-analytics-trainer-jaipur/,vivaan-srivastava-data-analytics-trainer-jaipur,vivaan-srivastava-data-analytics-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M002,Vaishnavi Prasad,Data Analytics,Data Analytics Trainer,https://forskcodingschool.com/mentors/vaishnavi-prasad-data-analytics-trainer-jaipur/,vaishnavi-prasad-data-analytics-trainer-jaipur,vaishnavi-prasad-data-analytics-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M003,Garima Ahuja,Data Analytics,Data Analytics Trainer,https://forskcodingschool.com/mentors/garima-ahuja-data-analytics-trainer-jaipur/,garima-ahuja-data-analytics-trainer-jaipur,garima-ahuja-data-analytics-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M004,Charu Rathore,Data Analytics,Data Analytics Trainer,https://forskcodingschool.com/mentors/charu-rathore-data-analytics-trainer-jaipur/,charu-rathore-data-analytics-trainer-jaipur,charu-rathore-data-analytics-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M005,Akash Das,Data Analytics,Data Analytics Trainer,https://forskcodingschool.com/mentors/akash-das-data-analytics-trainer-jaipur/,akash-das-data-analytics-trainer-jaipur,akash-das-data-analytics-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M006,Kritika Iyer,Data Analytics,Data Analytics Trainer,https://forskcodingschool.com/mentors/kritika-iyer-data-analytics-trainer-jaipur/,kritika-iyer-data-analytics-trainer-jaipur,kritika-iyer-data-analytics-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M007,Naina Menon,Data Analytics,Data Analytics Trainer,https://forskcodingschool.com/mentors/naina-menon-data-analytics-trainer-jaipur/,naina-menon-data-analytics-trainer-jaipur,naina-menon-data-analytics-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M008,Manish Iyer,Data Analytics,Data Analytics Trainer,https://forskcodingschool.com/mentors/manish-iyer-data-analytics-trainer-jaipur/,manish-iyer-data-analytics-trainer-jaipur,manish-iyer-data-analytics-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M009,Rajat Saini,Data Analytics,Data Analytics Trainer,https://forskcodingschool.com/mentors/rajat-saini-data-analytics-trainer-jaipur/,rajat-saini-data-analytics-trainer-jaipur,rajat-saini-data-analytics-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M010,Aditi Pandey,Data Analytics,Data Analytics Trainer,https://forskcodingschool.com/mentors/aditi-pandey-data-analytics-trainer-jaipur/,aditi-pandey-data-analytics-trainer-jaipur,aditi-pandey-data-analytics-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M011,Lavanya Roy,Data Science,Data Science Trainer,https://forskcodingschool.com/mentors/lavanya-roy-data-science-trainer-jaipur/,lavanya-roy-data-science-trainer-jaipur,lavanya-roy-data-science-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M012,Vivaan Maheshwari,Data Science,Data Science Trainer,https://forskcodingschool.com/mentors/vivaan-maheshwari-data-science-trainer-jaipur/,vivaan-maheshwari-data-science-trainer-jaipur,vivaan-maheshwari-data-science-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M013,Vedant Gupta,Data Science,Data Science Trainer,https://forskcodingschool.com/mentors/vedant-gupta-data-science-trainer-jaipur/,vedant-gupta-data-science-trainer-jaipur,vedant-gupta-data-science-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M014,Krishna Saxena,Data Science,Data Science Trainer,https://forskcodingschool.com/mentors/krishna-saxena-data-science-trainer-jaipur/,krishna-saxena-data-science-trainer-jaipur,krishna-saxena-data-science-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M015,Aditya Patel,Data Science,Data Science Trainer,https://forskcodingschool.com/mentors/aditya-patel-data-science-trainer-jaipur/,aditya-patel-data-science-trainer-jaipur,aditya-patel-data-science-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M016,Piyush Maheshwari,Data Science,Data Science Trainer,https://forskcodingschool.com/mentors/piyush-maheshwari-data-science-trainer-jaipur/,piyush-maheshwari-data-science-trainer-jaipur,piyush-maheshwari-data-science-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M017,Laksh Menon,Data Science,Data Science Trainer,https://forskcodingschool.com/mentors/laksh-menon-data-science-trainer-jaipur/,laksh-menon-data-science-trainer-jaipur,laksh-menon-data-science-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M018,Garima Wadhwa,Data Science,Data Science Trainer,https://forskcodingschool.com/mentors/garima-wadhwa-data-science-trainer-jaipur/,garima-wadhwa-data-science-trainer-jaipur,garima-wadhwa-data-science-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M019,Shubham Singhal,Data Science,Data Science Trainer,https://forskcodingschool.com/mentors/shubham-singhal-data-science-trainer-jaipur/,shubham-singhal-data-science-trainer-jaipur,shubham-singhal-data-science-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M020,Ekta Bose,Data Science,Data Science Trainer,https://forskcodingschool.com/mentors/ekta-bose-data-science-trainer-jaipur/,ekta-bose-data-science-trainer-jaipur,ekta-bose-data-science-trainer-jaipur-forsk-coding-school.webp,AVAILABLE,DEMO – VERIFY BEFORE PUBLISH
FCS-M021,Siddharth Joshi,Machine Learning,Machine Learning Trainer,https://forskcodingschool.com/mentors/siddharth-joshi-machine-learning-trainer-jaipur/,siddharth-joshi-machine-learning-trainer-jaipur,siddharth-joshi-machine-learning-trainer-jaipur-forsk-coding-school.webp,PENDING,DEMO – VERIFY BEFORE PUBLISH
FCS-M022,Lavanya Anand,Machine Learning,Machine Learning Trainer,https://forskcodingschool.com/mentors/lavanya-anand-machine-learning-trainer-jaipur/,lavanya-anand-machine-learning-trainer-jaipur,lavanya-anand-machine-learning-trainer-jaipur-forsk-coding-school.webp,PENDING,DEMO – VERIFY BEFORE PUBLISH
FCS-M023,Yash Jadhav,Machine Learning,Machine Learning Trainer,https://forskcodingschool.com/mentors/yash-jadhav-machine-learning-trainer-jaipur/,yash-jadhav-machine-learning-trainer-jaipur,yash-jadhav-machine-learning-trainer-jaipur-forsk-coding-school.webp,PENDING,DEMO – VERIFY BEFORE PUBLISH
FCS-M024,Sameer Jain,Machine Learning,Machine Learning Trainer,https://forskcodingschool.com/mentors/sameer-jain-machine-learning-trainer-jaipur/,sameer-jain-machine-learning-trainer-jaipur,sameer-jain-machine-learning-trainer-jaipur-forsk-coding-school.webp,PENDING,DEMO – VERIFY BEFORE PUBLISH
FCS-M025,Dev Khandelwal,Machine Learning,Machine Learning Trainer,https://forskcodingschool.com/mentors/dev-khandelwal-machine-learning-trainer-jaipur/,dev-khandelwal-machine-learning-trainer-jaipur,dev-khandelwal-machine-learning-trainer-jaipur-forsk-coding-school.webp,PENDING,DEMO – VERIFY BEFORE PUBLISH
FCS-M026,Aarav Chawla,Machine Learning,Machine Learning Trainer,https://forskcodingschool.com/mentors/aarav-chawla-machine-learning-trainer-jaipur/,aarav-chawla-machine-learning-trainer-jaipur,aarav-chawla-machine-learning-trainer-jaipur-forsk-coding-school.webp,PENDING,DEMO – VERIFY BEFORE PUBLISH
FCS-M027,Sameer Vyas,Machine Learning,Machine Learning Trainer,https://forskcodingschool.com/mentors/sameer-vyas-machine-learning-trainer-jaipur/,sameer-vyas-machine-learning-trainer-jaipur,sameer-vyas-machine-learning-trainer-jaipur-forsk-coding-school.webp,PENDING,DEMO – VERIFY BEFORE PUBLISH
FCS-M028,Manish Patil,Machine Learning,Machine Learning Trainer,https://forskcodingschool.com/mentors/manish-patil-machine-learning-trainer-jaipur/,manish-patil-machine-learning-trainer-jaipur,manish-patil-machine-learning-trainer-jaipur-forsk-coding-school.webp,PENDING,DEMO – VERIFY BEFORE PUBLISH
FCS-M029,Tanvi Iyer,Machine Learning,Machine Learning Trainer,https://forskcodingschool.com/mentors/tanvi-iyer-machine-learning-trainer-jaipur/,tanvi-iyer-machine-learning-trainer-jaipur,tanvi-iyer-machine-learning-trainer-jaipur-forsk-coding-school.webp,PENDING,DEMO – VERIFY BEFORE PUBLISH
FCS-M030,Aarohi Roy,Machine Learning,Machine Learning Trainer,https://forskcodingschool.com/mentors/aarohi-roy-machine-learning-trainer-jaipur/,aarohi-roy-machine-learning-trainer-jaipur,aarohi-roy-machine-learning-trainer-jaipur-forsk-coding-school.webp,PENDING,DEMO – VERIFY BEFORE PUBLISH
FCS-M031,Tanvi Choudhary,Artificial Intelligence,AI Trainer,https://forskcodingschool.com/mentors/tanvi-choudhary-ai-trainer-jaipur/,tanvi-choudhary-ai-trainer-jaipur,tanvi-choudhary-ai-trainer-jaipur-forsk-coding-school.webp,PENDING,DEMO – VERIFY BEFORE PUBLISH
FCS-M032,Meera Bhardwaj,Artificial Intelligence,AI Trainer,https://forskcodingschool.com/mentors/meera-bhardwaj-ai-trainer-jaipur/,meera-bhardwaj-ai-trainer-jaipur,meera-bhardwaj-ai-trainer-jaipur-forsk-coding-school.webp,PENDING,DEMO – VERIFY BEFORE PUBLISH
FCS-M033,Ananya Choudhary,Artificial Intelligence,AI Trainer,https://forskcodingschool.com/mentors/ananya-choudhary-ai-trainer-jaipur/,ananya-choudhary-ai-trainer-jaipur,ananya-choudhary-ai-trainer-jaipur-forsk-coding-school.webp,PENDING,DEMO – VERIFY BEFORE PUBLISH
FCS-M034,Vishal Menon,Artificial Intelligence,AI Trainer,https://forskcodingschool.com/mentors/vishal-menon-ai-trainer-jaipur/,vishal-menon-ai-trainer-jaipur,vishal-menon-ai-trainer-jaipur-forsk-coding-school.webp,PENDING,DEMO – VERIFY BEFORE PUBLISH
FCS-M035,Tushar Saxena,Artificial Intelligence,AI Trainer,https://forskcodingschool.com/mentors/tushar-saxena-ai-trainer-jaipur/,tushar-saxena-ai-trainer-jaipur,tushar-saxena-ai-trainer-jaipur-forsk-coding-school.webp,PENDING,DEMO – VERIFY BEFORE PUBLISH
FCS-M036,Pooja Tiwari,Artificial Intelligence,AI Trainer,https://forskcodingschool.com/mentors/pooja-tiwari-ai-trainer-jaipur/,pooja-tiwari-ai-trainer-jaipur,pooja-tiwari-ai-trainer-jaipur-forsk-coding-school.webp,PENDING,DEMO – VERIFY BEFORE PUBLISH
